Month,Year,Men (20+),Women (20+),White,Black or African American,Asian,Hispanic or Latino,Less than a High School Diploma (25+),High School Graduates No College (25+),Some College or Associate Degree (25+),Bachelor's Degree and Higher (25+)
Jan,"
2001",3.6,3.6,3.6,8.2,0,5.8,6.7,3.8,3,1.6
Feb,"
2001",3.7,3.7,3.7,7.7,0,6.1,7.5,3.7,2.8,1.6
Mar,"
2001",3.8,3.6,3.7,8.3,0,6.2,6.8,3.8,2.7,2
Apr,"
2001",3.9,3.7,3.9,8,0,6.4,6.8,3.7,2.9,2.1
May,"
2001",3.9,3.8,3.8,7.9,0,6.3,6.6,3.9,3,2.1
Jun,"
2001",4,3.9,4,8.3,0,6.6,6.9,3.8,3,2.2
Jul,"
2001",4.1,3.9,4,8,0,6.2,6.8,4.1,3,2.2
Aug,"
2001",4.4,4.3,4.3,9.1,0,6.5,7.2,4.4,3.3,2.3
Sep,"
2001",4.3,4.4,4.3,8.9,0,6.7,7.7,4.4,3.4,2.5
Oct,"
2001",4.8,4.7,4.7,9.5,0,7.1,7.6,4.7,4.1,2.6
Nov,"
2001",5,4.8,4.9,9.8,0,7.3,8,5,4.2,2.9
Dec,"
2001",5.1,5.1,5.1,10.1,0,7.7,8.3,4.9,4.2,3
Jan,"
2002",5.2,4.9,5.1,10,0,7.8,8.2,5.3,4.3,2.9
Feb,"
2002",5.2,5,5,9.9,0,7,8.3,5.3,4.2,2.9
Mar,"
2002",5.2,5,5,10.5,0,7.5,8.1,5.4,4.3,2.8
Apr,"
2002",5.4,5.3,5.2,10.7,0,8,9.1,5.5,4.6,2.9
May,"
2002",5.2,5.2,5.1,10.2,0,7.1,8.3,5.5,4.8,2.9
Jun,"
2002",5.3,5.1,5.1,10.5,0,7.4,7.8,5.4,4.6,3
Jul,"
2002",5.3,5.1,5.2,9.8,0,7.4,8.6,5.1,4.4,3
Aug,"
2002",5.2,5,5.1,9.8,0,7.5,8.4,5.2,4.4,2.8
Sep,"
2002",5.2,4.9,5.1,9.7,0,7.4,7.8,5,4.6,2.9
Oct,"
2002",5.3,5.1,5.1,9.8,0,7.9,8.7,4.9,4.6,3
Nov,"
2002",5.5,5,5.1,10.7,0,7.8,9,5.2,4.7,2.9
Dec,"
2002",5.6,5.1,5.1,11.3,0,7.9,8.9,5.3,4.9,2.9
Jan,"
2003",5.6,4.9,5.2,10.5,5.5,7.9,8.8,5.2,4.7,3
Feb,"
2003",5.5,5.1,5.1,10.7,5.8,7.7,8.9,5.4,4.7,3
Mar,"
2003",5.4,5.1,5.1,10.3,6.5,7.8,8.6,5.5,4.8,3.1
Apr,"
2003",5.7,5.1,5.3,10.9,6,7.6,8.5,5.7,4.8,3
May,"
2003",5.8,5.2,5.4,10.9,5.5,8,9,5.6,4.9,3
Jun,"
2003",6,5.2,5.5,11.5,7.4,8.3,9.4,5.7,4.9,3.1
Jul,"
2003",5.9,5.1,5.4,10.9,5.9,8,8.8,5.4,5,3.1
Aug,"
2003",5.8,5.2,5.4,10.9,6,7.7,9.3,5.4,4.9,3.2
Sep,"
2003",5.7,5.3,5.3,11.1,6.4,7.3,8.6,5.3,4.9,3.2
Oct,"
2003",5.6,5.1,5.1,11.4,6.2,7.5,9,5.5,4.8,3.1
Nov,"
2003",5.6,5,5.2,10.2,5.2,7.4,8.7,5.3,4.7,3.1
Dec,"
2003",5.2,5.1,5,10.1,5.4,6.7,7.9,5.4,4.4,3
Jan,"
2004",5.2,5.1,5,10.4,5,7.3,9.1,4.9,4.5,2.9
Feb,"
2004",5.1,4.9,4.9,9.7,4.5,7.4,8.6,5,4.3,2.9
Mar,"
2004",5.2,5.3,5.1,10.3,4.3,7.6,8.8,5.3,4.7,2.9
Apr,"
2004",5.1,4.9,5,9.8,4.7,7.1,8.6,5.3,4.1,2.9
May,"
2004",5.2,4.8,4.9,10.1,4.6,6.9,8.8,5.1,4,2.9
Jun,"
2004",5.1,5,5,10.2,4.6,6.6,8.7,5.2,4.1,2.7
Jul,"
2004",5,4.8,4.7,11,3.9,6.8,8.2,5,4.2,2.6
Aug,"
2004",5,4.7,4.7,10.5,3.7,6.8,8.1,4.9,4.1,2.7
Sep,"
2004",5,4.6,4.6,10.3,4.5,6.8,8.7,4.7,4.1,2.6
Oct,"
2004",4.9,4.7,4.6,10.8,4.9,6.8,8.4,4.8,4.2,2.5
Nov,"
2004",4.9,4.7,4.6,10.7,4.1,6.7,8,4.8,4.3,2.5
Dec,"
2004",4.8,4.6,4.5,10.7,4.2,6.6,8.1,4.8,4.2,2.5
Jan,"
2005",4.7,4.7,4.5,10.6,4.1,6,7.7,4.7,4.1,2.4
Feb,"
2005",4.8,4.7,4.6,10.9,4.3,6.3,7.8,4.9,4.2,2.4
Mar,"
2005",4.6,4.6,4.5,10.5,3.9,5.8,7.8,4.7,3.9,2.4
Apr,"
2005",4.4,4.6,4.4,10.3,4.2,6.4,8.2,4.4,3.9,2.4
May,"
2005",4.3,4.7,4.4,10.1,4.2,6,7.8,4.5,3.9,2.4
Jun,"
2005",4.3,4.6,4.3,10.2,3.6,5.7,6.9,4.8,3.9,2.3
Jul,"
2005",4.2,4.6,4.2,9.2,4.8,5.5,7.5,4.8,3.7,2.3
Aug,"
2005",4.3,4.4,4.2,9.7,3.7,5.8,7.5,4.7,3.5,2.1
Sep,"
2005",4.5,4.6,4.4,9.4,4.3,6.4,8.2,4.9,3.7,2.3
Oct,"
2005",4.3,4.5,4.4,9.1,3.2,6,7.3,4.8,3.8,2.3
Nov,"
2005",4.3,4.6,4.3,10.6,3.6,6.1,7.4,4.8,3.9,2.3
Dec,"
2005",4.3,4.4,4.2,9.2,3.8,6.1,7.4,4.5,3.9,2.1
Jan,"
2006",4.1,4.3,4.1,8.9,3,5.5,7,4.4,3.6,2.1
Feb,"
2006",4.2,4.3,4.1,9.5,3,5.4,7.1,4.4,3.6,2.2
Mar,"
2006",4.1,4.2,4,9.5,3.5,5.2,6.9,4.1,3.7,2.2
Apr,"
2006",4.2,4.3,4.1,9.4,3.9,5.5,6.9,4.4,3.8,2.2
May,"
2006",4.2,4.1,4.1,8.7,3.3,5,7,4.3,3.8,2.1
Jun,"
2006",4,4.1,4.1,8.9,3.1,5.2,7.1,4.1,3.5,2.1
Jul,"
2006",4.1,4.2,4.1,9.5,2.4,5.2,7.1,4.5,3.6,2
Aug,"
2006",4.1,4.1,4.1,8.8,3,5.3,6.8,4.6,3.5,1.8
Sep,"
2006",3.7,4.2,3.9,9,3,5.5,6.4,4.1,3.6,2.1
Oct,"
2006",3.9,3.9,3.9,8.4,2.8,4.8,5.8,4.1,3.4,1.9
Nov,"
2006",4,4,4,8.5,3.1,5.1,6.6,4.3,3.4,1.8
Dec,"
2006",3.9,3.9,3.9,8.3,2.5,5,6.7,4.3,3.4,1.8
Jan,"
2007",4.2,4,4.2,7.9,3.1,5.5,6.9,4.3,3.8,2.1
Feb,"
2007",4.2,3.8,4.1,8,2.6,5.1,7.3,4.3,3.6,1.9
Mar,"
2007",4,3.8,3.8,8.4,3,5,6.9,4,3.6,1.8
Apr,"
2007",4,3.9,4,8.3,3.5,5.6,7.1,4.1,3.6,1.9
May,"
2007",4,3.8,3.9,8.3,3.2,5.8,6.6,4.4,3.4,2
Jun,"
2007",4,3.9,4.1,8.5,2.7,5.5,6.7,4.1,3.5,2
Jul,"
2007",4.2,4.2,4.2,8.1,2.7,5.9,7.3,4.6,3.6,2.1
Aug,"
2007",4.1,4.1,4.2,7.6,3.5,5.5,6.5,4.4,3.6,2.1
Sep,"
2007",4.2,4.1,4.2,8,3.4,5.9,7.6,4.5,3.4,2
Oct,"
2007",4.3,4.1,4.1,8.5,3.8,5.7,7.3,4.6,3.5,2.1
Nov,"
2007",4.2,4.2,4.2,8.5,3.6,5.9,7.7,4.5,3.3,2.2
